NAME,Survey,Gl,Gb,P0,P1,DM,PB,A1,ECC,ZZ,merger_time
J0453+1559,ar372,184.1,-17.1,0.045782,1.86e-19,30.0,4.0725,14.47,1.125e-01,-0.15,1.43e+12
J0737-3039A,"pkshl, htru_pks",245.2,-4.5,0.022699,1.76e-18,49.0,0.1023,1.42,8.778e-02,-0.09,85000000.0
#J0737-3039B,pkshl,245.2,-4.5,2.773461,8.92e-16,49.0,0.1023,1.52,8.778e-02,-0.09,85000000.0
J1411+2551,ar327,33.4,72.1,0.062453,9.56e-20,12.0,2.6159,9.21,1.699e-01,1.08,4.6e+11
J1518+4904,"gb4, gbncc",80.8,54.3,0.040935,2.72e-20,12.0,8.634,20.04,2.495e-01,0.78,2.4e+12
B1534+12,"ar4, gb4",19.8,48.3,0.037904,2.42e-18,12.0,0.4207,3.73,2.737e-01,0.79,2930000000.0
J1753-2240,"pksmb, htru_pks",6.3,1.7,0.095138,9.70e-19,159.0,13.6376,18.12,3.036e-01,0.09,
J1756-2251,"pksmb, htru_pks",6.5,0.9,0.028462,1.02e-18,121.0,0.3196,2.76,1.806e-01,0.01,1690000000.0
J1811-1736,"pksmb, htru_pks",12.8,0.4,0.104182,9.01e-19,476.0,18.7792,34.78,8.280e-01,0.03,1e+12
#J1824+10,FermiAssoc,39.1,10.7,0.00407,*,60.0,82.5,35.0,*,0.54,
J1829+2456,ar4,53.3,15.6,0.04101,5.25e-20,14.0,1.176,7.24,1.391e-01,0.24,60000000000.0
J1906+0746,palfa,41.6,0.1,0.144073,2.03e-14,218.0,0.166,1.42,8.530e-02,0.02,300000000.0
J1913+1102,palfa,45.2,0.2,0.027285,1.61e-19,339.0,0.2063,1.75,8.954e-02,0.02,500000000.0
B1913+16,"ar1,ar4,pksmb",50.0,2.1,0.05903,8.62e-18,169.0,0.323,2.34,6.171e-01,0.19,370000000.0
J1930-1852,gb350,20.0,-16.9,0.18552,1.80e-17,43.0,45.06,86.89,3.989e-01,-0.58,
J1757-1854,htru_pks,10.0,2.9,0.0215,2.63e-18,378.0,0.1835,2.24,0.60581,0.37,76000000.0
J1946+2052,palfa,57.7,-2.0,0.0169,9e-19,94.0,0.0784,1.15,0.0638,-0.14,46000000.0
